             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           2227702     batch    w7-x1   htchen PD       0:00      9 (DependencyNeverSatisfied)
           2224291     batch 336_Rash   tmaier PD       0:00    320 (Dependency)
           2224289     batch 336_Rash   tmaier PD       0:00    320 (Dependency)
           2224287     batch 336_Rash   tmaier PD       0:00    320 (Dependency)
           2224285     batch 336_Rash   tmaier PD       0:00    320 (Dependency)
           2224283     batch 336_Rash   tmaier PD       0:00    320 (Dependency)
           2224281     batch 336_Rash   tmaier PD       0:00    320 (Dependency)
           2223894     batch 331_Rash   tmaier PD       0:00    320 (Dependency)
           2223893     batch 331_Rash   tmaier PD       0:00    320 (Dependency)
           2223892     batch 331_Rash   tmaier PD       0:00    320 (Dependency)
           2223567     batch 2050000-  jmgonza PD       0:00   1024 (Priority)
           2223566     batch 1850000-  jmgonza PD       0:00   1024 (Priority)
           2223565     batch 1650000-  jmgonza PD       0:00   1024 (Priority)
           2223564     batch 1450000-  jmgonza PD       0:00   1024 (Priority)
           2223563     batch 1250000-  jmgonza PD       0:00   1024 (Priority)
           2223562     batch 1050000-  jmgonza PD       0:00   1024 (Priority)
           2223561     batch 850000-S  jmgonza PD       0:00   1024 (Priority)
           2223560     batch 650000-S  jmgonza PD       0:00   1024 (Priority)
           2223559     batch 450000-S  jmgonza PD       0:00   1024 (Priority)
           2223558     batch 250000-S  jmgonza PD       0:00   1024 (Priority)
           2223557     batch 50000-SR  jmgonza PD       0:00   1024 (Priority)
           2223548     batch 2050000-  jmgonza PD       0:00   1024 (Priority)
           2223547     batch 1850000-  jmgonza PD       0:00   1024 (Priority)
           2223546     batch 1650000-  jmgonza PD       0:00   1024 (Priority)
           2223545     batch 1450000-  jmgonza PD       0:00   1024 (Priority)
           2223544     batch 1250000-  jmgonza PD       0:00   1024 (Priority)
           2223543     batch 1050000-  jmgonza PD       0:00   1024 (Priority)
           2223542     batch 850000-S  jmgonza PD       0:00   1024 (Priority)
           2223541     batch 650000-S  jmgonza PD       0:00   1024 (Priority)
           2223540     batch 450000-S  jmgonza PD       0:00   1024 (Priority)
           2223539     batch 250000-S  jmgonza PD       0:00   1024 (Priority)
           2223538     batch 50000-SR  jmgonza PD       0:00   1024 (Priority)
           2221856     batch   MW8_KK omaralva PD       0:00      1 (Dependency)
           2221855     batch   MW8_KK omaralva PD       0:00      1 (Dependency)
           2221854     batch   MW8_KK omaralva PD       0:00      1 (Dependency)
           2221853     batch   MW8_KK omaralva PD       0:00      1 (Dependency)
           2221852     batch   MW8_KK omaralva PD       0:00      1 (Dependency)
           2221806     batch HAMR_FIR    nkaaz PD       0:00      2 (Dependency)
           2221805     batch HAMR_FIR    nkaaz PD       0:00      2 (Dependency)
           2221804     batch HAMR_FIR    nkaaz PD       0:00      2 (Dependency)
           2221799     batch HAMR_FIR    nkaaz PD       0:00      2 (Dependency)
           2221798     batch HAMR_FIR    nkaaz PD       0:00      2 (Dependency)
           2221794     batch HAMR_FIR    nkaaz PD       0:00      2 (Dependency)
           2221647     batch producti    tpaul PD       0:00      1 (Dependency)
           2221646     batch producti    tpaul PD       0:00      1 (Dependency)
           2221645     batch producti    tpaul PD       0:00      1 (Dependency)
           2221644     batch producti    tpaul PD       0:00      1 (Dependency)
           2221643     batch producti    tpaul PD       0:00      1 (Dependency)
           2221642     batch producti    tpaul PD       0:00      1 (Dependency)
           2221641     batch producti    tpaul PD       0:00      1 (Dependency)
           2221640     batch producti    tpaul PD       0:00      1 (Dependency)
           2221639     batch producti    tpaul PD       0:00      1 (Dependency)
           2221638     batch producti    tpaul PD       0:00      1 (Dependency)
           2221637     batch producti    tpaul PD       0:00      1 (Dependency)
           2221636     batch producti    tpaul PD       0:00      1 (Dependency)
           2221635     batch producti    tpaul PD       0:00      1 (Dependency)
           2221634     batch producti    tpaul PD       0:00      1 (Dependency)
           2221633     batch producti    tpaul PD       0:00      1 (Dependency)
           2221632     batch producti    tpaul PD       0:00      1 (Dependency)
           2221631     batch producti    tpaul PD       0:00      1 (Dependency)
           2221630     batch producti    tpaul PD       0:00      1 (Dependency)
           2221629     batch producti    tpaul PD       0:00      1 (Dependency)
           2221628     batch producti    tpaul PD       0:00      1 (Dependency)
           2221622     batch producti    tpaul PD       0:00      1 (Dependency)
           2221621     batch producti    tpaul PD       0:00      1 (Dependency)
           2221620     batch producti    tpaul PD       0:00      1 (Dependency)
           2221619     batch producti    tpaul PD       0:00      1 (Dependency)
           2221618     batch producti    tpaul PD       0:00      1 (Dependency)
           2221617     batch producti    tpaul PD       0:00      1 (Dependency)
           2221616     batch producti    tpaul PD       0:00      1 (Dependency)
           2221615     batch producti    tpaul PD       0:00      1 (Dependency)
           2221614     batch producti    tpaul PD       0:00      1 (Dependency)
           2221613     batch producti    tpaul PD       0:00      1 (Dependency)
           2221612     batch producti    tpaul PD       0:00      1 (Dependency)
           2221611     batch producti    tpaul PD       0:00      1 (Dependency)
           2221610     batch producti    tpaul PD       0:00      1 (Dependency)
           2221609     batch producti    tpaul PD       0:00      1 (Dependency)
           2221608     batch producti    tpaul PD       0:00      1 (Dependency)
           2221607     batch producti    tpaul PD       0:00      1 (Dependency)
           2221606     batch producti    tpaul PD       0:00      1 (Dependency)
           2221605     batch producti    tpaul PD       0:00      1 (Dependency)
           2221604     batch producti    tpaul PD       0:00      1 (Dependency)
           2221583     batch producti    tpaul PD       0:00     64 (Dependency)
           2221582     batch producti    tpaul PD       0:00     64 (Dependency)
           2221581     batch producti    tpaul PD       0:00     64 (Dependency)
           2221580     batch producti    tpaul PD       0:00     64 (Dependency)
           2221579     batch producti    tpaul PD       0:00     64 (Dependency)
           2221578     batch producti    tpaul PD       0:00     64 (Dependency)
           2221577     batch producti    tpaul PD       0:00     64 (Dependency)
           2221576     batch producti    tpaul PD       0:00     64 (Dependency)
           2221575     batch producti    tpaul PD       0:00     64 (Dependency)
           2221574     batch producti    tpaul PD       0:00     64 (Dependency)
           2221573     batch producti    tpaul PD       0:00     64 (Dependency)
           2221572     batch producti    tpaul PD       0:00     64 (Dependency)
           2221571     batch producti    tpaul PD       0:00     64 (Dependency)
           2221570     batch producti    tpaul PD       0:00     64 (Dependency)
           2221569     batch producti    tpaul PD       0:00     64 (Dependency)
           2221568     batch producti    tpaul PD       0:00     64 (Dependency)
           2221567     batch producti    tpaul PD       0:00     64 (Dependency)
           2221566     batch producti    tpaul PD       0:00     64 (Dependency)
           2221565     batch producti    tpaul PD       0:00     64 (Dependency)
           2221564     batch producti    tpaul PD       0:00     64 (Dependency)
           2221563     batch producti    tpaul PD       0:00     64 (Dependency)
           2221562     batch producti    tpaul PD       0:00     64 (Dependency)
           2221561     batch producti    tpaul PD       0:00     64 (Dependency)
           2221560     batch producti    tpaul PD       0:00     64 (Dependency)
           2221556     batch producti    tpaul PD       0:00     64 (Dependency)
           2221555     batch producti    tpaul PD       0:00     64 (Dependency)
           2221554     batch producti    tpaul PD       0:00     64 (Dependency)
           2221553     batch producti    tpaul PD       0:00     64 (Dependency)
           2221552     batch producti    tpaul PD       0:00     64 (Dependency)
           2221551     batch producti    tpaul PD       0:00     64 (Dependency)
           2221550     batch producti    tpaul PD       0:00     64 (Dependency)
           2221549     batch producti    tpaul PD       0:00     64 (Dependency)
           2221548     batch producti    tpaul PD       0:00     64 (Dependency)
           2221547     batch producti    tpaul PD       0:00     64 (Dependency)
           2221546     batch producti    tpaul PD       0:00     64 (Dependency)
           2221545     batch producti    tpaul PD       0:00     64 (Dependency)
           2221544     batch producti    tpaul PD       0:00     64 (Dependency)
           2221543     batch producti    tpaul PD       0:00     64 (Dependency)
           2221542     batch producti    tpaul PD       0:00     64 (Dependency)
           2221541     batch producti    tpaul PD       0:00     64 (Dependency)
           2221540     batch producti    tpaul PD       0:00     64 (Dependency)
           2221539     batch producti    tpaul PD       0:00     64 (Dependency)
           2221538     batch producti    tpaul PD       0:00     64 (Dependency)
           2221537     batch producti    tpaul PD       0:00     64 (Dependency)
           2221536     batch producti    tpaul PD       0:00     64 (Dependency)
           2221535     batch producti    tpaul PD       0:00     64 (Dependency)
           2221534     batch producti    tpaul PD       0:00     64 (Dependency)
           2221533     batch producti    tpaul PD       0:00     64 (Dependency)
           2221507     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221506     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221505     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221504     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221503     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221502     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221501     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221500     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221499     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221498     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221497     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221496     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221495     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221494     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221493     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221492     batch CRMHL_TU     mpw2 PD       0:00     80 (Priority)
           2221491     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221490     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221489     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221488     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221487     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221486     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221485     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221484     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221483     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221482     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221481     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221480     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221479     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221478     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221477     batch CRMHL_TU     mpw2 PD       0:00     80 (Dependency)
           2221474     batch CRMHL_TU     mpw2 PD       0:00    200 (Dependency)
           2221473     batch CRMHL_TU     mpw2 PD       0:00    200 (Dependency)
           2221470     batch CRMHL_TU     mpw2 PD       0:00    200 (Dependency)
           2221468     batch CRMHL_TU     mpw2 PD       0:00    200 (Dependency)
           2221467     batch CRMHL_TU     mpw2 PD       0:00    200 (Dependency)
